Open_Closed,WhoAff,PopAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
closed,juvs,both,5400,0.014,0.119,1,0,1,1,8,7,0.05,0.91361,0.862226,0.899036
closed,juvs,both,5400,0.014,0.119,1,0,1,1,9,8,0.05,0.91136,0.870118,0.900336
closed,juvs,both,5400,0.014,0.119,1,0,1,1,10,9,0.05,0.921728,0.890246,0.913568
closed,juvs,both,5400,0.014,0.119,1,0,1,1,11,10,0.05,0.931656,0.913926,0.9224
closed,juvs,both,5400,0.014,0.119,1,0,1,1,12,11,0.05,0.945866,0.923932,0.936012
closed,juvs,both,5400,0.014,0.119,1,0,1,1,13,12,0.05,0.953624,0.926658,0.947918
closed,juvs,both,5400,0.014,0.119,1,0,1,1,14,13,0.05,0.940958,0.926216,0.932394
closed,juvs,both,5400,0.014,0.119,1,0,1,1,15,14,0.05,0.96083,0.94208,0.944598
closed,juvs,both,5400,0.014,0.119,1,0,1,1,16,15,0.05,0.9693,0.953342,0.955238
closed,juvs,both,5400,0.014,0.119,1,0,1,1,17,16,0.05,0.971458,0.95234,0.959852
closed,juvs,both,5400,0.014,0.119,1,0,1,1,18,17,0.05,0.964836,0.954374,0.951592
closed,juvs,both,5400,0.014,0.119,1,0,1,1,19,18,0.05,0.975492,0.961,0.96327
closed,juvs,both,5400,0.014,0.119,1,0,1,1,20,19,0.05,0.967328,0.958894,0.95773
closed,juvs,both,5400,0.014,0.119,1,0,1,1,21,20,0.05,0.970852,0.964482,0.969682
closed,juvs,both,5400,0.014,0.119,1,0,1,1,22,21,0.05,0.9754,0.967398,0.97254
closed,juvs,both,5400,0.014,0.119,1,0,1,1,23,22,0.05,0.978444,0.968672,0.96968
closed,juvs,both,5400,0.014,0.119,1,0,1,1,24,23,0.05,0.977952,0.969282,0.971096
closed,juvs,both,5400,0.014,0.119,1,0,1,1,25,24,0.05,0.977236,0.970684,0.972244
closed,juvs,both,5400,0.014,0.119,1,0,1,1,26,25,0.05,0.97795,0.969542,0.973032
closed,juvs,both,5400,0.014,0.119,1,0,1,1,0,-1,0.1,0.502742,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,0,1,1,1,0,0.1,0.605938,0.509174,0.577224
closed,juvs,both,5400,0.014,0.119,1,0,1,1,2,1,0.1,0.710288,0.563504,0.67076
closed,juvs,both,5400,0.014,0.119,1,0,1,1,3,2,0.1,0.782118,0.62677,0.739136
closed,juvs,both,5400,0.014,0.119,1,0,1,1,4,3,0.1,0.847258,0.696954,0.807712
closed,juvs,both,5400,0.014,0.119,1,0,1,1,5,4,0.1,0.889328,0.759666,0.844632
closed,juvs,both,5400,0.014,0.119,1,0,1,1,6,5,0.1,0.898816,0.789936,0.86075
closed,juvs,both,5400,0.014,0.119,1,0,1,1,7,6,0.1,0.907668,0.818174,0.8758
