Open_Closed,WhoAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,adults,54000,0.014,0.119,1,0,1,1,0,-1,0.2,0.47319,0.498002,0.498002
open,adults,54000,0.014,0.119,1,0,1,1,1,0,0.2,0.54221,0.074188,0.573708
open,adults,54000,0.014,0.119,1,0,1,1,2,1,0.2,0.554464,0.147194,0.596388
open,adults,54000,0.014,0.119,1,0,1,1,3,2,0.2,0.536052,0.2231,0.58054
open,adults,54000,0.014,0.119,1,0,1,1,4,3,0.2,0.556124,0.309482,0.606998
open,adults,54000,0.014,0.119,1,0,1,1,5,4,0.2,0.583608,0.401236,0.64792
open,adults,54000,0.014,0.119,1,0,1,1,6,5,0.2,0.592726,0.474528,0.660762
open,adults,54000,0.014,0.119,1,0,1,1,7,6,0.2,0.636418,0.537618,0.722456
open,adults,54000,0.014,0.119,1,0,1,1,8,7,0.2,0.666796,0.606568,0.740742
open,adults,54000,0.014,0.119,1,0,1,1,9,8,0.2,0.677026,0.643626,0.766392
open,adults,54000,0.014,0.119,1,0,1,1,10,9,0.2,0.70679,0.680066,0.789792
open,adults,54000,0.014,0.119,1,0,1,1,11,10,0.2,0.740754,0.707708,0.832572
open,adults,54000,0.014,0.119,1,0,1,1,12,11,0.2,0.769154,0.745548,0.865626
open,adults,54000,0.014,0.119,1,0,1,1,13,12,0.2,0.788306,0.760036,0.870972
open,adults,54000,0.014,0.119,1,0,1,1,14,13,0.2,0.795172,0.776226,0.885216
open,adults,54000,0.014,0.119,1,0,1,1,15,14,0.2,0.811174,0.789186,0.900908
open,adults,54000,0.014,0.119,1,0,1,1,16,15,0.2,0.815054,0.800286,0.898864
open,adults,54000,0.014,0.119,1,0,1,1,17,16,0.2,0.84247,0.815108,0.914244
open,adults,54000,0.014,0.119,1,0,1,1,18,17,0.2,0.832952,0.828856,0.924276
open,adults,54000,0.014,0.119,1,0,1,1,19,18,0.2,0.849316,0.838858,0.930058
open,adults,54000,0.014,0.119,1,0,1,1,20,19,0.2,0.854328,0.845962,0.928154
open,adults,54000,0.014,0.119,1,0,1,1,21,20,0.2,0.845434,0.848176,0.919274
open,adults,54000,0.014,0.119,1,0,1,1,22,21,0.2,0.866578,0.86056,0.936162
open,adults,54000,0.014,0.119,1,0,1,1,23,22,0.2,0.86917,0.86107,0.942698
open,adults,54000,0.014,0.119,1,0,1,1,24,23,0.2,0.88143,0.870422,0.953214
open,adults,54000,0.014,0.119,1,0,1,1,25,24,0.2,0.881298,0.868972,0.950502
open,adults,54000,0.014,0.119,1,0,1,1,26,25,0.2,0.867464,0.86515,0.94805
open,adults,54000,0.014,0.119,1,0,1,1,27,26,0.2,0.867982,0.86642,0.934052
open,adults,54000,0.014,0.119,1,0,1,1,28,27,0.2,0.87452,0.874674,0.936524
open,adults,54000,0.014,0.119,1,0,1,1,29,28,0.2,0.886422,0.88031,0.951562
open,adults,54000,0.014,0.119,1,0,1,1,30,29,0.2,0.890508,0.874944,0.954474
open,adults,54000,0.014,0.119,1,0,1,1,31,30,0.2,0.89291,0.886116,0.950014
open,adults,54000,0.014,0.119,1,0,1,1,32,31,0.2,0.9046,0.8857,0.95924
open,adults,54000,0.014,0.119,1,0,1,1,33,32,0.2,0.889518,0.8841,0.953448
open,adults,54000,0.014,0.119,1,0,1,1,34,33,0.2,0.900258,0.889376,0.95261
open,adults,54000,0.014,0.119,1,0,1,1,35,34,0.2,0.890566,0.889638,0.946718
open,adults,54000,0.014,0.119,1,0,1,1,36,35,0.2,0.898464,0.893896,0.951446
open,adults,54000,0.014,0.119,1,0,1,1,37,36,0.2,0.891006,0.89,0.949656
open,adults,54000,0.014,0.119,1,0,1,1,38,37,0.2,0.892292,0.895554,0.957746
open,adults,54000,0.014,0.119,1,0,1,1,39,38,0.2,0.8931,0.889996,0.959334
open,adults,54000,0.014,0.119,1,0,1,1,40,39,0.2,0.898614,0.898984,0.955312
open,adults,54000,0.014,0.119,1,0,1,1,41,40,0.2,0.900728,0.906308,0.957074
open,adults,54000,0.014,0.119,1,0,1,1,42,41,0.2,0.90483,0.905174,0.955412
open,adults,54000,0.014,0.119,1,0,1,1,43,42,0.2,0.89474,0.908226,0.956194
open,adults,54000,0.014,0.119,1,0,1,1,44,43,0.2,0.891732,0.906532,0.951478
open,adults,54000,0.014,0.119,1,0,1,1,45,44,0.2,0.891034,0.899534,0.955796
open,adults,54000,0.014,0.119,1,0,1,1,46,45,0.2,0.908876,0.908634,0.961678
open,adults,54000,0.014,0.119,1,0,1,1,47,46,0.2,0.911094,0.916864,0.96208
open,adults,54000,0.014,0.119,1,0,1,1,48,47,0.2,0.907514,0.910126,0.96365
open,adults,54000,0.014,0.119,1,0,1,1,49,48,0.2,0.897854,0.912434,0.954938
open,adults,54000,0.014,0.119,1,0,1,1,50,49,0.2,0.902646,0.907042,0.961694
open,adults,54000,0.014,0.119,1,0,1,1,51,50,0.2,0.902904,0.90246,0.956018
open,adults,54000,0.014,0.119,1,0,1,1,52,51,0.2,0.898304,0.906608,0.950016
open,adults,54000,0.014,0.119,1,0,1,1,53,52,0.2,0.90151,0.903328,0.958496
open,adults,54000,0.014,0.119,1,0,1,1,54,53,0.2,0.920494,0.912636,0.963478
open,adults,54000,0.014,0.119,1,0,1,1,55,54,0.2,0.913644,0.91308,0.969142
open,adults,54000,0.014,0.119,1,0,1,1,56,55,0.2,0.914262,0.911114,0.967426
open,adults,54000,0.014,0.119,1,0,1,1,0,-1,0.3,0.509462,0.498002,0.498002
open,adults,54000,0.014,0.119,1,0,1,1,1,0,0.3,0.536176,0.116296,0.507902
open,adults,54000,0.014,0.119,1,0,1,1,2,1,0.3,0.553122,0.19256,0.537288
