Open_Closed,WhoAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,adults,5400,0.1,0.119,1,0,1,1,0,-1,0.2,0.492082,0.498002,0.498002
open,adults,5400,0.1,0.119,1,0,1,1,1,0,0.2,0.542098,0.00786,0.526874
open,adults,5400,0.1,0.119,1,0,1,1,2,1,0.2,0.564794,0.040502,0.536856
open,adults,5400,0.1,0.119,1,0,1,1,3,2,0.2,0.590764,0.107118,0.561386
open,adults,5400,0.1,0.119,1,0,1,1,4,3,0.2,0.611262,0.21441,0.583434
open,adults,5400,0.1,0.119,1,0,1,1,5,4,0.2,0.66061,0.350932,0.629204
open,adults,5400,0.1,0.119,1,0,1,1,6,5,0.2,0.668488,0.437184,0.645146
open,adults,5400,0.1,0.119,1,0,1,1,7,6,0.2,0.693756,0.551064,0.662846
open,adults,5400,0.1,0.119,1,0,1,1,8,7,0.2,0.72273,0.606012,0.698066
open,adults,5400,0.1,0.119,1,0,1,1,9,8,0.2,0.766724,0.67417,0.73376
open,adults,5400,0.1,0.119,1,0,1,1,10,9,0.2,0.801016,0.73167,0.765392
open,adults,5400,0.1,0.119,1,0,1,1,11,10,0.2,0.832644,0.775428,0.80311
open,adults,5400,0.1,0.119,1,0,1,1,12,11,0.2,0.846026,0.799674,0.814968
open,adults,5400,0.1,0.119,1,0,1,1,13,12,0.2,0.85758,0.824522,0.82689
open,adults,5400,0.1,0.119,1,0,1,1,14,13,0.2,0.870146,0.839632,0.840532
open,adults,5400,0.1,0.119,1,0,1,1,15,14,0.2,0.874386,0.857144,0.849038
open,adults,5400,0.1,0.119,1,0,1,1,16,15,0.2,0.891128,0.876834,0.861436
open,adults,5400,0.1,0.119,1,0,1,1,17,16,0.2,0.901976,0.879076,0.873832
open,adults,5400,0.1,0.119,1,0,1,1,18,17,0.2,0.901288,0.8913,0.87772
open,adults,5400,0.1,0.119,1,0,1,1,19,18,0.2,0.903744,0.896526,0.880978
open,adults,5400,0.1,0.119,1,0,1,1,20,19,0.2,0.911922,0.899414,0.885788
open,adults,5400,0.1,0.119,1,0,1,1,21,20,0.2,0.926978,0.909,0.898604
open,adults,5400,0.1,0.119,1,0,1,1,22,21,0.2,0.930242,0.916154,0.911742
open,adults,5400,0.1,0.119,1,0,1,1,23,22,0.2,0.931,0.910892,0.907512
open,adults,5400,0.1,0.119,1,0,1,1,24,23,0.2,0.935812,0.919962,0.909414
open,adults,5400,0.1,0.119,1,0,1,1,25,24,0.2,0.931184,0.919354,0.910294
open,adults,5400,0.1,0.119,1,0,1,1,26,25,0.2,0.925688,0.916844,0.90367
open,adults,5400,0.1,0.119,1,0,1,1,0,-1,0.3,0.484568,0.498002,0.498002
