Open_Closed,WhoAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,adults,5400,0.014,0.1785,1,0,1,1,0,-1,0.2,0.512488,0.498002,0.498002
open,adults,5400,0.014,0.1785,1,0,1,1,1,0,0.2,0.525174,0.008662,0.491268
open,adults,5400,0.014,0.1785,1,0,1,1,2,1,0.2,0.565614,0.053692,0.530664
open,adults,5400,0.014,0.1785,1,0,1,1,3,2,0.2,0.571764,0.137066,0.537744
open,adults,5400,0.014,0.1785,1,0,1,1,4,3,0.2,0.574976,0.236912,0.542044
open,adults,5400,0.014,0.1785,1,0,1,1,5,4,0.2,0.624922,0.35599,0.594554
open,adults,5400,0.014,0.1785,1,0,1,1,6,5,0.2,0.653286,0.475188,0.624398
open,adults,5400,0.014,0.1785,1,0,1,1,7,6,0.2,0.67841,0.558274,0.64879
open,adults,5400,0.014,0.1785,1,0,1,1,8,7,0.2,0.7133,0.621946,0.68245
open,adults,5400,0.014,0.1785,1,0,1,1,9,8,0.2,0.734578,0.672736,0.71468
open,adults,5400,0.014,0.1785,1,0,1,1,10,9,0.2,0.762738,0.71809,0.740066
open,adults,5400,0.014,0.1785,1,0,1,1,11,10,0.2,0.799318,0.762982,0.780918
open,adults,5400,0.014,0.1785,1,0,1,1,12,11,0.2,0.813452,0.777488,0.794912
open,adults,5400,0.014,0.1785,1,0,1,1,13,12,0.2,0.844592,0.805946,0.821654
open,adults,5400,0.014,0.1785,1,0,1,1,14,13,0.2,0.8487,0.824162,0.832598
open,adults,5400,0.014,0.1785,1,0,1,1,15,14,0.2,0.843968,0.84249,0.82895
open,adults,5400,0.014,0.1785,1,0,1,1,16,15,0.2,0.86105,0.847692,0.831324
open,adults,5400,0.014,0.1785,1,0,1,1,17,16,0.2,0.867686,0.855862,0.851558
open,adults,5400,0.014,0.1785,1,0,1,1,18,17,0.2,0.86869,0.864676,0.856584
open,adults,5400,0.014,0.1785,1,0,1,1,19,18,0.2,0.88353,0.86616,0.86288
open,adults,5400,0.014,0.1785,1,0,1,1,20,19,0.2,0.895452,0.88174,0.87732
open,adults,5400,0.014,0.1785,1,0,1,1,21,20,0.2,0.893516,0.883498,0.870672
open,adults,5400,0.014,0.1785,1,0,1,1,22,21,0.2,0.914984,0.897472,0.89397
open,adults,5400,0.014,0.1785,1,0,1,1,23,22,0.2,0.897288,0.883382,0.88203
open,adults,5400,0.014,0.1785,1,0,1,1,24,23,0.2,0.896714,0.89019,0.877434
open,adults,5400,0.014,0.1785,1,0,1,1,25,24,0.2,0.90334,0.88697,0.885958
open,adults,5400,0.014,0.1785,1,0,1,1,26,25,0.2,0.920198,0.899162,0.8971
open,adults,5400,0.014,0.1785,1,0,1,1,0,-1,0.3,0.480742,0.498002,0.498002
open,adults,5400,0.014,0.1785,1,0,1,1,1,0,0.3,0.561654,0.02669,0.5518
open,adults,5400,0.014,0.1785,1,0,1,1,2,1,0.3,0.600802,0.094982,0.58082
open,adults,5400,0.014,0.1785,1,0,1,1,3,2,0.3,0.600258,0.187444,0.584082
open,adults,5400,0.014,0.1785,1,0,1,1,4,3,0.3,0.610824,0.294264,0.6043
open,adults,5400,0.014,0.1785,1,0,1,1,5,4,0.3,0.620966,0.400604,0.609018
open,adults,5400,0.014,0.1785,1,0,1,1,6,5,0.3,0.653548,0.50671,0.651098
open,adults,5400,0.014,0.1785,1,0,1,1,7,6,0.3,0.706682,0.588692,0.702154
open,adults,5400,0.014,0.1785,1,0,1,1,8,7,0.3,0.721778,0.658858,0.712712
open,adults,5400,0.014,0.1785,1,0,1,1,9,8,0.3,0.758246,0.695354,0.748252
open,adults,5400,0.014,0.1785,1,0,1,1,10,9,0.3,0.751402,0.728986,0.748778
open,adults,5400,0.014,0.1785,1,0,1,1,11,10,0.3,0.808126,0.782628,0.792532
open,adults,5400,0.014,0.1785,1,0,1,1,12,11,0.3,0.81794,0.807058,0.79874
open,adults,5400,0.014,0.1785,1,0,1,1,13,12,0.3,0.851268,0.836078,0.825416
open,adults,5400,0.014,0.1785,1,0,1,1,14,13,0.3,0.859064,0.844784,0.832672
open,adults,5400,0.014,0.1785,1,0,1,1,15,14,0.3,0.878818,0.857304,0.860406
open,adults,5400,0.014,0.1785,1,0,1,1,16,15,0.3,0.863612,0.85603,0.849588
open,adults,5400,0.014,0.1785,1,0,1,1,17,16,0.3,0.878508,0.866912,0.851728
open,adults,5400,0.014,0.1785,1,0,1,1,18,17,0.3,0.88832,0.878086,0.871306
open,adults,5400,0.014,0.1785,1,0,1,1,19,18,0.3,0.889826,0.884926,0.88033
open,adults,5400,0.014,0.1785,1,0,1,1,20,19,0.3,0.896586,0.883172,0.88072
open,adults,5400,0.014,0.1785,1,0,1,1,21,20,0.3,0.885358,0.88359,0.867072
open,adults,5400,0.014,0.1785,1,0,1,1,22,21,0.3,0.893512,0.893212,0.879024
open,adults,5400,0.014,0.1785,1,0,1,1,23,22,0.3,0.897218,0.886188,0.884058
open,adults,5400,0.014,0.1785,1,0,1,1,24,23,0.3,0.899624,0.892978,0.876028
open,adults,5400,0.014,0.1785,1,0,1,1,25,24,0.3,0.88914,0.89675,0.875432
open,adults,5400,0.014,0.1785,1,0,1,1,26,25,0.3,0.886538,0.895194,0.869504
open,adults,5400,0.014,0.1785,1,0,1,1,0,-1,0.4,0.507604,0.498002,0.498002
open,adults,5400,0.014,0.1785,1,0,1,1,1,0,0.4,0.572738,0.049354,0.543442
open,adults,5400,0.014,0.1785,1,0,1,1,2,1,0.4,0.60502,0.13652,0.572512
open,adults,5400,0.014,0.1785,1,0,1,1,3,2,0.4,0.620016,0.248682,0.594458
open,adults,5400,0.014,0.1785,1,0,1,1,4,3,0.4,0.645976,0.343274,0.614694
open,adults,5400,0.014,0.1785,1,0,1,1,5,4,0.4,0.678036,0.463234,0.658884
open,adults,5400,0.014,0.1785,1,0,1,1,6,5,0.4,0.68683,0.548644,0.66029
open,adults,5400,0.014,0.1785,1,0,1,1,7,6,0.4,0.727108,0.620726,0.699898
open,adults,5400,0.014,0.1785,1,0,1,1,8,7,0.4,0.752582,0.662856,0.733366
open,adults,5400,0.014,0.1785,1,0,1,1,9,8,0.4,0.784794,0.720156,0.760866
open,adults,5400,0.014,0.1785,1,0,1,1,10,9,0.4,0.79702,0.750656,0.7738
open,adults,5400,0.014,0.1785,1,0,1,1,11,10,0.4,0.800504,0.761794,0.781518
open,adults,5400,0.014,0.1785,1,0,1,1,12,11,0.4,0.839234,0.802136,0.816394
open,adults,5400,0.014,0.1785,1,0,1,1,13,12,0.4,0.859722,0.828266,0.839598
open,adults,5400,0.014,0.1785,1,0,1,1,14,13,0.4,0.855372,0.829474,0.830184
open,adults,5400,0.014,0.1785,1,0,1,1,15,14,0.4,0.864156,0.846882,0.836888
open,adults,5400,0.014,0.1785,1,0,1,1,16,15,0.4,0.894862,0.859758,0.867724
open,adults,5400,0.014,0.1785,1,0,1,1,17,16,0.4,0.879542,0.861748,0.857126
open,adults,5400,0.014,0.1785,1,0,1,1,18,17,0.4,0.87745,0.860188,0.85582
open,adults,5400,0.014,0.1785,1,0,1,1,19,18,0.4,0.910248,0.88345,0.884806
open,adults,5400,0.014,0.1785,1,0,1,1,20,19,0.4,0.88721,0.878538,0.86733
open,adults,5400,0.014,0.1785,1,0,1,1,21,20,0.4,0.915112,0.89142,0.891198
open,adults,5400,0.014,0.1785,1,0,1,1,22,21,0.4,0.880404,0.880758,0.859026
open,adults,5400,0.014,0.1785,1,0,1,1,23,22,0.4,0.88784,0.886458,0.867106
open,adults,5400,0.014,0.1785,1,0,1,1,24,23,0.4,0.898386,0.89365,0.87858
open,adults,5400,0.014,0.1785,1,0,1,1,25,24,0.4,0.899444,0.896854,0.886186
open,adults,5400,0.014,0.1785,1,0,1,1,26,25,0.4,0.907156,0.88872,0.889756
open,adults,5400,0.014,0.1785,1,0,1,1,0,-1,0.5,0.478474,0.498002,0.498002
open,adults,5400,0.014,0.1785,1,0,1,1,1,0,0.5,0.592038,0.130772,0.58267
open,adults,5400,0.014,0.1785,1,0,1,1,2,1,0.5,0.602254,0.226432,0.593216
open,adults,5400,0.014,0.1785,1,0,1,1,3,2,0.5,0.649082,0.334004,0.635938
open,adults,5400,0.014,0.1785,1,0,1,1,4,3,0.5,0.677014,0.444348,0.66416
open,adults,5400,0.014,0.1785,1,0,1,1,5,4,0.5,0.700924,0.533,0.68942
